feature,importance
bf_rr,0.08560128936617233
bf_std,0.06300611079401387
bf_range,0.05819214895927533
hr_bpm_from_peaks,0.04821689766158554
hr_ibi_mean_s,0.048056682843207986
resp_bp_ratio_fast_slow,0.046516534632654614
resp_bp_fast,0.04634422121140068
resp_spec_entropy,0.04188392928132058
bf_min,0.041650534242511604
hr_peak_count,0.03404605601517943
bf_mean,0.032515598823703466
bf_max,0.031607959224710075
resp_spec_centroid_hz,0.03160200116612332
bf_kurtosis,0.031383899888167775
hr_std,0.031035091338852586
hr_kurtosis,0.03006903038277004
hr_skew,0.029514218853329617
hr_max,0.02911605406838426
hr_min,0.026262824867322006
bf_skew,0.02534066452937665
hr_bf_corr_long,0.02388695869163661
hr_range,0.022172733947803263
hr_rmssd_ms,0.020932911191704148
hr_mean,0.018175799366586066
hr_sdnn_ms,0.017252869857232983
hr_ibi_std_s,0.01619907717067439
hr_pnn50,0.012819232143419254
hr_bf_xcorr_max,0.012763166573840768
resp_peak_freq_hz,0.01249252725220077
hr_slope_long,0.009187598555662405
hr_bf_xcorr_lag_s,0.008960794990623085
hr_slope,0.00829753376304988
missing_bf_rr,0.0031863555316875183
missing_corr,0.0007878737526057839
missing_slope,0.0007643255465038919
hr_low_peaks,0.00015849351470730795
resp_bp_slow,0.0
