label,hr_mean,hr_std,hr_min,hr_max,hr_range,bf_mean,bf_std,bf_min,bf_max,bf_range,hr_rmssd,hr_slope,hr_skew,hr_kurtosis,bf_skew,bf_kurtosis,time_center,bf_rr,hr_bf_corr_long,hr_slope_long,participant
pranayama,0.30055537285676176,0.09060283430523487,0.18333864942439612,0.6348490511323233,0.4515104017079271,0.2786887004287461,0.06772220656412832,0.1814273337923853,0.3824573711622207,0.20103003736983543,0.02935655941381977,0.00021413000631381133,1.2138876976789044,1.2329976146084842,0.18988692389795384,-1.4804289459049182,0,,,,P1
pranayama,0.3113600933680193,0.1341794000335048,0.17447152861071824,0.6548701381832978,0.4803986095725795,0.08990362778983445,0.0350350898579378,0.058982388111311596,0.18119278836161037,0.12221040025029878,0.016680803559636522,-0.0001307043857056649,1.25210053556476,0.23656190519155773,1.1090379032533666,0.002563588600373201,10,1.997780244173141,-0.05442591366445839,-2.0753988937371492e-06,P1
pranayama,0.30366264177041624,0.1289463799148729,0.18631096294422436,0.6334799013052933,0.44716893836106897,0.2250168090506428,0.07932852066466574,0.06341996750533549,0.3278384649983742,0.2644184974930387,0.016340336897369544,-9.290803678510153e-05,1.3261069182606504,0.3954637571759245,-0.9174461123680021,-0.6708046499272076,20,1.997780244173141,-0.05442591366445839,-2.0753988937371492e-06,P1
pranayama,0.3006207508073807,0.10033518376782777,0.19461359229543815,0.603406043035919,0.4087924507404809,0.34921161181670046,0.09999400019083635,0.15750637377269383,0.4821269218821001,0.32462054810940627,0.010947411369612583,3.691474452096934e-05,1.2180308761068335,0.48544715136353833,-0.3382802176659549,-1.1398453566295914,30,,-0.052311214313777346,-4.628443773388614e-05,P1
pranayama,0.3139389067337903,0.12421864176673605,0.19375832024489137,0.626954507029643,0.4331961867847516,0.08768669514143684,0.022383925249541376,0.06637031131908178,0.15721367926542962,0.09084336794634784,0.015209677456742173,1.6315635943762476e-05,1.2433535794971284,0.19072502203788977,1.436646152166427,1.2201907256289415,40,,-0.0474160632844992,-1.8480652901993743e-05,P1
pranayama,0.30097703733152337,0.12000490410675412,0.18560733346657451,0.6101737875491484,0.4245664540825739,0.2501258780276107,0.10986200943983288,0.08301043362246846,0.4400483906247593,0.35703795700229085,0.015081697321624569,-2.768088950939773e-05,1.2643213562244087,0.2669876489799221,0.2465847640343111,-1.07245326493501,50,2.2670025188916876,-0.07687225869442715,1.9616731667211125e-05,P1
pranayama,0.30830785959749624,0.1068530719457391,0.18602663312004047,0.6036064136868888,0.41757978056684836,0.19079034018879407,0.10814807307422272,0.06742887132550116,0.4330888766471824,0.3656600053216812,0.011733812652204148,5.852463817996444e-05,1.1308403165177878,0.21270023989873899,0.7025190887224575,-0.6532406084192517,60,,-0.06278642376860274,-3.5363418505249265e-06,P1
pranayama,0.3097307721584171,0.12030769490351098,0.18837520739205169,0.6164022482003817,0.42802704080833,0.15179199781875344,0.10841439887399752,0.05095266753444887,0.36782335737230254,0.31687068983785366,0.015709912999721756,-5.257802628987616e-05,1.2448632665162218,0.18018545871438008,0.6480361346830094,-1.1797424104242096,70,2.458176852167975,-0.07180814972635108,-8.323346227583182e-06,P1
pranayama,0.29120215385712983,0.10153683891053546,0.18020159331882696,0.6145712236781432,0.43436963035931625,0.36994035705843575,0.09891629771531577,0.19221007846512653,0.49250830506918575,0.30029822660405925,0.01173431352793295,-1.0451891559162587e-06,1.3105193213157276,0.9329487066957562,-0.433652965670959,-1.2733456438367043,80,,-0.09554862484554152,-7.561866630092657e-07,P1
pranayama,0.31889151611410077,0.12056877607869974,0.19237468100971777,0.6226890634542749,0.4303143824445571,0.11617870876636488,0.040994348474199534,0.058458874872210034,0.19201700672164193,0.13355813184943188,0.014072325122362587,6.143939103729392e-06,1.1176641824764806,-0.025118620703547645,0.024565628684680985,-1.2600549763697824,90,,-0.0700139138372684,-2.0423077154643552e-05,P1
