feature,importance
chroma_mean_5,0.025356946720922736
mfcc_mean_8,0.020557536193959544
mfcc_std_4,0.018823922723331003
mel_std_5,0.01846487545027576
mel_std_4,0.017560317091106416
mfcc_mean_9,0.01739011810681442
mfcc_std_6,0.01527377762016436
mfcc_std_8,0.014423935163860447
mfcc_mean_6,0.014397436617162846
mfcc_std_3,0.014304963441640006
chroma_mean_7,0.014183477450397587
mfcc_std_5,0.013887811197613543
mfcc_mean_7,0.013886923447553526
mfcc_mean_5,0.013545020325774343
mel_std_16,0.013267519817695578
mfcc_mean_2,0.012916374469848745
mel_std_29,0.012710019772966662
mfcc_mean_3,0.012621500832959149
mel_std_9,0.01239144182711461
mel_std_17,0.012250267177453778
mel_std_28,0.01222083719324676
mfcc_mean_4,0.012180248612323395
mel_mean_13,0.011753226180190831
mel_std_30,0.01152873574705955
spec_bandwidth,0.011396048161396688
mel_std_27,0.011095134467650779
mfcc_mean_1,0.011057795941071447
chroma_mean_6,0.011004544235329495
spec_rolloff,0.010855105108394438
chroma_std_4,0.010447026364964666
mfcc_std_7,0.01040961198560897
mel_std_8,0.010316581679329057
spec_centroid,0.010210310506302892
mel_mean_6,0.010090442561077108
mel_std_31,0.009862400770013557
mel_mean_16,0.009805165697144808
mel_mean_2,0.009726385738781165
mel_std_10,0.009494013548529797
mel_std_14,0.00943162592740645
mel_std_24,0.00929610584683907
mel_mean_4,0.009253733063388551
chroma_mean_4,0.009158127486547792
mel_std_15,0.008788719170923002
zero_crossing_rate,0.008749880276583931
mel_mean_9,0.008705698672229591
chroma_mean_8,0.00859530055343525
mfcc_std_0,0.00849518594155039
mel_mean_31,0.008260202441471562
rms,0.008249810082885426
mel_std_13,0.008159846341000655
mel_mean_5,0.008072471294568654
mel_mean_14,0.00804834855205756
mel_std_23,0.008037527544113751
mel_std_26,0.007920849415976048
mel_mean_12,0.007798498339219598
mel_std_6,0.007783060330444723
chroma_std_5,0.007705771104169875
mel_std_7,0.007343817795201711
mel_mean_19,0.007245615217630764
mel_mean_17,0.007225529419875686
mel_mean_10,0.007105814173632029
mel_std_25,0.007062741563970558
mfcc_std_9,0.007024225744527044
mel_std_19,0.0069041081288279465
chroma_std_7,0.006889418286690837
mel_std_3,0.0068463094298468734
mel_mean_7,0.006776781652703266
mel_mean_15,0.006690266801400947
mel_std_18,0.006688151505233668
chroma_std_6,0.006685129357116541
mel_mean_18,0.006684203084977109
mel_std_20,0.006677871500564883
chroma_std_3,0.006605091187865036
mel_mean_20,0.006588881033347906
mel_std_1,0.006498922958316118
mel_std_22,0.006470250809841052
mel_std_2,0.006467642830924231
mel_mean_8,0.006436023598754736
chroma_std_10,0.006434012828521485
mel_mean_30,0.006400513675571482
mel_std_11,0.006345652805930553
chroma_mean_2,0.006340244100577982
mel_mean_25,0.0063087059103991445
mfcc_std_1,0.006274756377383839
mel_mean_21,0.006163384865441044
chroma_mean_0,0.006116197469577656
chroma_mean_9,0.006018596312437819
chroma_mean_3,0.005912689944834695
chroma_mean_1,0.0059106969641509344
mel_mean_1,0.005896760969948246
mel_std_21,0.005853079547418272
chroma_std_0,0.005819684447555176
mel_mean_11,0.005688780085783509
mfcc_mean_0,0.0056625725266063525
mel_mean_29,0.005597687623402307
mel_mean_28,0.005547509349927561
mel_mean_24,0.005496242040313324
mel_std_12,0.00547360809797655
chroma_mean_10,0.005456865654521698
mfcc_std_2,0.005390172920612816
mel_std_0,0.005331150540305324
chroma_mean_11,0.005326228627569184
chroma_std_11,0.005247845843150965
mel_mean_23,0.005244572122585161
mel_mean_0,0.005231196979868531
chroma_std_8,0.0051935796460840225
chroma_std_1,0.004981425405657662
mel_mean_27,0.004945884344272146
mel_mean_3,0.004937803520680585
mel_mean_22,0.004799304447463492
chroma_std_2,0.004736719360680267
chroma_std_9,0.004430177469450122
mel_mean_26,0.004390338760248959
